target_id,pdb_id,chain_id,model,rank,output_pdb,success,return_code,inference_time_sec,inference_time_sec_per_prediction,prediction_count,trials_run,max_trials,successful_trial,command,error_message
7ROA_chainA,7ROA,A,colabfold,1,data/predictions/7ROA_chainA/colabfold/rank_001.pdb,true,0,51.754343,10.350869,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/colabfold 5,
7ROA_chainA,7ROA,A,colabfold,2,data/predictions/7ROA_chainA/colabfold/rank_002.pdb,true,0,51.754343,10.350869,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/colabfold 5,
7ROA_chainA,7ROA,A,colabfold,3,data/predictions/7ROA_chainA/colabfold/rank_003.pdb,true,0,51.754343,10.350869,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/colabfold 5,
7ROA_chainA,7ROA,A,colabfold,4,data/predictions/7ROA_chainA/colabfold/rank_004.pdb,true,0,51.754343,10.350869,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/colabfold 5,
7ROA_chainA,7ROA,A,colabfold,5,data/predictions/7ROA_chainA/colabfold/rank_005.pdb,true,0,51.754343,10.350869,5,1,5,1,bash runners/run_colabfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/colabfold 5,
7ROA_chainA,7ROA,A,openfold,1,data/predictions/7ROA_chainA/openfold/rank_001.pdb,true,0,28.233360,28.233360,1,1,5,1,bash runners/run_openfold.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/openfold 5,
7ROA_chainA,7ROA,A,boltz2,1,data/predictions/7ROA_chainA/boltz2/rank_001.pdb,true,0,37.537096,7.507419,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/boltz2 5,
7ROA_chainA,7ROA,A,boltz2,2,data/predictions/7ROA_chainA/boltz2/rank_002.pdb,true,0,37.537096,7.507419,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/boltz2 5,
7ROA_chainA,7ROA,A,boltz2,3,data/predictions/7ROA_chainA/boltz2/rank_003.pdb,true,0,37.537096,7.507419,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/boltz2 5,
7ROA_chainA,7ROA,A,boltz2,4,data/predictions/7ROA_chainA/boltz2/rank_004.pdb,true,0,37.537096,7.507419,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/boltz2 5,
7ROA_chainA,7ROA,A,boltz2,5,data/predictions/7ROA_chainA/boltz2/rank_005.pdb,true,0,37.537096,7.507419,5,1,5,1,bash runners/run_boltz2.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/boltz2 5,
7ROA_chainA,7ROA,A,chai1,1,data/predictions/7ROA_chainA/chai1/rank_001.pdb,true,0,159.919409,31.983882,5,1,5,1,bash runners/run_chai1.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/chai1 5,
7ROA_chainA,7ROA,A,chai1,2,data/predictions/7ROA_chainA/chai1/rank_002.pdb,true,0,159.919409,31.983882,5,1,5,1,bash runners/run_chai1.sh data/sequences/7ROA_chainA.fasta data/predictions/7ROA_chainA/chai1 5,
