model,target_id,n_reps,mean_total_runtime_sec,std_total_runtime_sec,cv_total_runtime_sec,min_total_runtime_sec,max_total_runtime_sec,mean_inference_runtime_sec,std_inference_runtime_sec,cv_inference_runtime_sec,flagged_unstable
af2,T1280,3,494.6129603333333,657.1468556639273,1.3286082419293217,115.049516,1253.420766,116.65889399999999,2.516253389549429,0.02156932320607659,False
af2,T1137s5,3,619.2796043333333,821.8502311740095,1.3271068923039175,144.445182,1568.270428,146.671458,3.286372060735216,0.022406350257561467,False
af2,T1114s1,3,460.256298,608.6977190796947,1.3225190436822545,108.330128,1163.11965,109.63222366666668,1.483639333545837,0.013532876411015759,False
af2,T1147,3,450.3868823333333,595.4967719805106,1.3221894227811477,105.936518,1138.006928,107.67358066666667,2.004602002609577,0.01861739890322192,False
af2,T1106s1,3,443.77949766666666,585.1369378937819,1.318530804082554,105.551867,1119.437278,105.96828033333334,0.39991370750992644,0.0037739001355118693,False
af2,T1120,3,471.1530063333333,617.5535507873158,1.3107282400537341,114.577177,1184.242423,115.51213266666667,1.5657968676192697,0.013555258927975032,False
af2,T1137s8,3,486.8641646666667,635.2106179778258,1.3046978276019248,119.476,1220.341824,121.17472400000001,1.9301004539111397,0.015928243037806628,False
af2,T1137s4,3,781.698927,1017.4347368795593,1.3015685473488685,193.358036,1956.53088,197.39185933333331,5.4636443180577166,0.027679177533007197,False
af2,T1272s5,3,493.1088693333333,641.5539921717008,1.3010392472539793,122.666764,1233.911608,124.55655833333333,3.202922038062165,0.025714599704100942,False
af2,T1137s9,3,497.15364066666666,645.511820232574,1.298415152641674,123.275765,1242.525216,125.48702933333334,2.1300786358780996,0.016974492480971364,False
af2,T1272s4,3,495.01338633333336,642.1721197871722,1.297282331178706,124.001651,1236.529821,125.86590233333334,2.8013669858940893,0.02225675845452702,False
af2,T1137s6,3,725.9541446666667,940.8761243484676,1.2960544839653552,182.599225,1812.3843,184.88010166666663,3.7110165880213164,0.02007255813128105,False
af2,T1114s2,3,556.47611,718.8843677093772,1.2918512669113096,140.291996,1386.571239,142.86246033333336,2.731314704260622,0.01911849129496854,False
af2,T1134s2,3,510.0050759999999,658.6320113065187,1.2914224628354853,128.828983,1270.5270799999998,130.43769999999998,1.5102127737206452,0.011578038969719992,False
af2,T1122,3,452.1542333333334,582.6490869542799,1.2886069486929788,114.302507,1124.937335,116.94304866666668,2.51235056332398,0.021483539141220434,False
af2,T1272s2,3,533.3268096666667,686.8867266133066,1.2879283661787337,136.67028,1326.475277,139.288288,4.392752971935487,0.0315371309031775,False
af2,T1272s3,3,500.61157366666674,644.4836899764326,1.2873927089939063,127.9807,1244.796978,129.49689566666666,1.7774201459318342,0.013725581117458042,False
af2,T1104,3,463.745956,595.6129042486507,1.2843516941604354,108.417753,1151.371951,116.95263900000002,12.619305475083438,0.1079009895200692,False
af2,T1212,3,620.5620746666666,794.2462644016207,1.2798820566471907,161.971088,1537.678663,164.311825,3.9977840163641805,0.024330470532867493,False
af2,T1112,3,573.7260506666667,732.2565984696835,1.276317499647794,150.568824,1419.26302,152.26058433333336,2.290128964397497,0.015040852328425848,False
af2,T1227s1,3,579.3230673333334,737.4273195976026,1.2729120609542353,152.938809,1430.830479,156.449827,5.028801143943455,0.03214321958913675,False
af2,T1272s6,3,694.0205416666666,853.4729062351873,1.2297516499808512,200.746302,1679.525982,204.38900333333333,5.431142669739991,0.026572577688450612,False
af2,T1114s3,3,617.749218,740.8114154937525,1.1992106082985805,189.262482,1473.164085,192.86890133333335,4.958334514174723,0.025708315233285248,False
af2,T1129s2,3,627.1448706666666,743.1939653021753,1.1850435203466567,197.402657,1485.311005,200.601589,4.448146273054994,0.02217403309330214,False
af2,T1145,3,670.87378,785.3325715441026,1.1706115143508853,217.034674,1577.697589,221.19786399999998,6.4850081987611246,0.029317680024076205,False
chai1,T1129s2,3,258.2944970489892,55.81179876826149,0.21607815654576643,225.40128462699067,322.73573123198,258.2944970489892,55.81179876826149,0.21607815654576643,False
chai1,T1133,3,257.27248708268843,54.81793948034524,0.21307346192337515,225.02531351499783,320.56700068106875,257.27248708268843,54.81793948034524,0.21307346192337515,False
